                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.57181,                0.47449,                 1.1506,                0.98114,                      1,                0.99167,                0.93021,                0.41569,                0.41814,                 1.0355,             0.00095186,             0.00095186,             0.00095186
                    133,                 0.5782,                0.50802,                 1.1313,                0.98017,                      1,                 0.9905,                0.90887,                0.44717,                0.41649,                 1.0464,             0.00094636,             0.00094636,             0.00094636
                    134,                0.55121,                0.47274,                 1.1163,                0.98017,                      1,                 0.9905,                0.90887,                0.44717,                0.41649,                 1.0464,             0.00094085,             0.00094085,             0.00094085
                    135,                0.55835,                0.48252,                 1.1124,                0.97998,                      1,                0.98583,                0.90972,                  0.435,                0.39978,                0.99655,             0.00093535,             0.00093535,             0.00093535
                    136,                0.59013,                0.43911,                 1.1237,                0.97998,                      1,                0.98583,                0.90972,                  0.435,                0.39978,                0.99655,             0.00092985,             0.00092985,             0.00092985
                    137,                0.61176,                0.52071,                 1.1958,                0.97986,                      1,                0.98417,                0.90688,                 0.4222,                0.37103,                 0.9659,             0.00092435,             0.00092435,             0.00092435
                    138,                0.53387,                0.45985,                 1.0966,                0.97986,                      1,                0.98417,                0.90688,                 0.4222,                0.37103,                 0.9659,             0.00091885,             0.00091885,             0.00091885
                    139,                0.53527,                0.47399,                 1.1875,                0.98059,                      1,                0.98367,                0.91973,                0.40692,                0.37952,                0.95604,             0.00091335,             0.00091335,             0.00091335
                    140,                0.57385,                0.46451,                  1.095,                0.98059,                      1,                0.98367,                0.91973,                0.40692,                0.37952,                0.95604,             0.00090785,             0.00090785,             0.00090785
                    141,                0.65518,                0.51967,                   1.19,                0.98053,                      1,                 0.9865,                0.91344,                0.43016,                0.39581,                0.97918,             0.00090235,             0.00090235,             0.00090235
                    142,                0.54963,                0.50397,                  1.147,                0.98053,                      1,                 0.9865,                0.91344,                0.43016,                0.39581,                0.97918,             0.00089685,             0.00089685,             0.00089685
                    143,                0.54705,                0.47794,                 1.1388,                0.98094,                      1,                0.98983,                0.87637,                0.46939,                0.39713,                 1.0006,             0.00089134,             0.00089134,             0.00089134
                    144,                0.56648,                0.47157,                 1.1441,                0.98094,                      1,                0.98983,                0.87637,                0.46939,                0.39713,                 1.0006,             0.00088584,             0.00088584,             0.00088584
                    145,                0.52368,                0.48057,                 1.0897,                0.98038,                      1,                  0.991,                0.88931,                0.48043,                0.40395,                 1.0292,             0.00088034,             0.00088034,             0.00088034
                    146,                0.55739,                0.49541,                 1.1398,                0.98038,                      1,                  0.991,                0.88931,                0.48043,                0.40395,                 1.0292,             0.00087484,             0.00087484,             0.00087484
                    147,                0.57116,                 0.4767,                 1.1256,                 0.9804,                      1,                0.98933,                0.92441,                0.43763,                0.42697,                 1.0224,             0.00086934,             0.00086934,             0.00086934
                    148,                 0.5266,                0.48028,                 1.1092,                 0.9804,                      1,                0.98933,                0.92441,                0.43763,                0.42697,                 1.0224,             0.00086384,             0.00086384,             0.00086384
                    149,                0.54721,                0.46092,                 1.1014,                0.98008,                      1,                0.99217,                0.92333,                0.41725,                0.46532,                 1.0166,             0.00085834,             0.00085834,             0.00085834
                    150,                0.53786,                0.48091,                 1.1522,                0.98008,                      1,                0.99217,                0.92333,                0.41725,                0.46532,                 1.0166,             0.00085284,             0.00085284,             0.00085284
                    151,                0.53213,                0.50367,                 1.1476,                0.98033,                      1,                0.99217,                0.92208,                0.42594,                0.44045,                  1.011,             0.00084734,             0.00084734,             0.00084734
                    152,                0.52334,                0.46751,                 1.0643,                0.98033,                      1,                0.99217,                0.92208,                0.42594,                0.44045,                  1.011,             0.00084184,             0.00084184,             0.00084184
                    153,                0.56945,                0.47164,                 1.1776,                0.98144,                      1,                  0.994,                 0.9002,                0.48652,                0.44318,                 1.0284,             0.00083633,             0.00083633,             0.00083633
